quadra;area_construida_vertical_2013;area_construida_vertical_2023;delta_pde
005038;6772.0;6791.0;19.0
005039;22528.0;22528.0;0.0
005040;783.0;20489.0;19706.0
005043;7024.0;7024.0;0.0
005044;4488.0;4488.0;0.0
005045;1876.0;1876.0;0.0
005046;12820.0;33839.0;21019.0
005048;57021.0;61376.0;4355.0
005051;3254.0;3254.0;0.0
005053;9607.0;9607.0;0.0
005061;2863.0;2863.0;0.0
005062;1766.0;1766.0;0.0
005063;17849.0;17849.0;0.0
005064;5134.0;5509.0;375.0
005065;10790.0;10790.0;0.0
005066;26252.0;26252.0;0.0
005068;13948.0;15148.0;1200.0
005069;77583.0;96549.0;18966.0
005071;12584.0;12584.0;0.0
005072;3283.0;3283.0;0.0
005073;2542.0;2542.0;0.0
005074;3610.0;4383.0;773.0
005076;104734.0;114778.0;10044.0
005077;50500.0;50500.0;0.0
005078;43472.0;60454.0;16982.0
005079;424.0;424.0;0.0
005080;10661.0;10661.0;0.0
005083;5800.0;5800.0;0.0
005086;10854.0;13159.0;2305.0
005087;1759.0;1759.0;0.0
005088;3362.0;3362.0;0.0
005089;1040.0;1040.0;0.0
005092;3629.0;3629.0;0.0
006001;14579.0;35072.0;20493.0
006003;5106.0;5106.0;0.0
006006;980.0;3458.0;2478.0
006007;59786.0;59870.0;84.0
006008;5306.0;5306.0;0.0
006009;555.0;891.0;336.0
006010;16516.0;20176.0;3660.0
006011;44013.0;74257.0;30244.0
006012;51619.0;51619.0;0.0
006013;68007.0;73273.0;5266.0
006019;19229.0;27973.0;8744.0
006020;36543.0;85220.0;48677.0
006022;48462.0;71118.0;22656.0
006023;4116.0;4184.0;68.0
006024;4652.0;8513.0;3861.0
006025;3516.0;3516.0;0.0
006030;46127.0;72071.0;25944.0
006032;11887.0;36885.0;24998.0
006033;47645.0;47645.0;0.0
006035;12639.0;12639.0;0.0
006038;12486.0;34794.0;22308.0
006039;11013.0;11013.0;0.0
006040;61321.0;61344.0;23.0
006042;54874.0;55005.0;131.0
006043;4386.0;4386.0;0.0
006044;8532.0;8532.0;0.0
006045;31331.0;33307.0;1976.0
006047;15566.0;15566.0;0.0
006048;11659.0;11659.0;0.0
006050;22487.0;22812.0;325.0
006051;74200.0;87010.0;12810.0
006053;69313.0;83518.0;14205.0
006055;3779.0;3779.0;0.0
006057;7180.0;7180.0;0.0
006058;9308.0;9308.0;0.0
006059;630.0;630.0;0.0
006061;2704.0;2704.0;0.0
006062;18693.0;18693.0;0.0
006063;28244.0;28244.0;0.0
006065;28274.0;28274.0;0.0
006066;9202.0;9202.0;0.0
006068;18141.0;18141.0;0.0
006069;11128.0;11128.0;0.0
006070;4151.0;48507.0;44356.0
006071;16649.0;16867.0;218.0
006072;8559.0;8731.0;172.0
006074;4726.0;15414.0;10688.0
006075;3708.0;3708.0;0.0
007001;21011.0;21017.0;6.0
007002;19740.0;19740.0;0.0
007003;8970.0;8970.0;0.0
007004;5651.0;5841.0;190.0
007005;20275.0;26006.0;5731.0
007006;15445.0;15445.0;0.0
007007;2210.0;2210.0;0.0
007008;10595.0;10595.0;0.0
007009;9411.0;9431.0;20.0
007011;51561.0;58982.0;7421.0
007012;142362.0;144344.0;1982.0
007013;45293.0;51323.0;6030.0
007014;17548.0;17548.0;0.0
007015;25845.0;25845.0;0.0
007016;9368.0;9368.0;0.0
007017;34944.0;43867.0;8923.0
007020;21571.0;38838.0;17267.0
007021;3712.0;11451.0;7739.0
007022;19692.0;19692.0;0.0
007023;28073.0;31410.0;3337.0
007024;43855.0;43872.0;17.0
007025;39384.0;39384.0;0.0
007027;46321.0;46502.0;181.0
007030;28048.0;28088.0;40.0
007032;38891.0;39999.0;1108.0
007033;61749.0;61749.0;0.0
007034;42605.0;44443.0;1838.0
007035;7024.0;7024.0;0.0
007037;7744.0;7830.0;86.0
007041;37326.0;67428.0;30102.0
007045;52784.0;52784.0;0.0
007047;32637.0;32637.0;0.0
007048;15016.0;33616.0;18600.0
007049;15793.0;15858.0;65.0
007051;73253.0;83657.0;10404.0
007052;16529.0;16529.0;0.0
007053;47227.0;47227.0;0.0
007054;24894.0;24894.0;0.0
007056;46679.0;46679.0;0.0
007057;17828.0;17828.0;0.0
007060;40949.0;42935.0;1986.0
007061;11885.0;11885.0;0.0
007062;37928.0;47819.0;9891.0
007063;31441.0;70168.0;38727.0
007064;26008.0;26008.0;0.0
007066;14748.0;20283.0;5535.0
007067;8907.0;11750.0;2843.0
007068;15353.0;15353.0;0.0
007069;15414.0;15414.0;0.0
007070;6550.0;22361.0;15811.0
007071;7554.0;29114.0;21560.0
007074;706.0;706.0;0.0
007075;2179.0;2362.0;183.0
007076;25860.0;25898.0;38.0
007077;93918.0;99041.0;5123.0
007078;12442.0;12442.0;0.0
007079;19235.0;26835.0;7600.0
007080;8472.0;8472.0;0.0
007081;40270.0;73243.0;32973.0
007082;14271.0;14431.0;160.0
007083;16099.0;16113.0;14.0
007084;12912.0;12912.0;0.0
007085;18267.0;18626.0;359.0
007086;872.0;872.0;0.0
007087;23091.0;23091.0;0.0
007091;12006.0;12006.0;0.0
007093;774.0;774.0;0.0
007094;8375.0;8459.0;84.0
007097;9672.0;9672.0;0.0
008003;19908.0;25284.0;5376.0
008005;16028.0;16028.0;0.0
008006;10591.0;10591.0;0.0
008007;24648.0;24652.0;4.0
008008;33432.0;33432.0;0.0
008009;15263.0;15263.0;0.0
008010;4713.0;4713.0;0.0
008011;9043.0;9043.0;0.0
008012;10554.0;10554.0;0.0
008013;56423.0;56645.0;222.0
008014;23406.0;23406.0;0.0
008016;5292.0;5292.0;0.0
008017;600.0;600.0;0.0
008019;5914.0;5914.0;0.0
008020;2805.0;2805.0;0.0
008021;7978.0;7978.0;0.0
008022;14902.0;14902.0;0.0
008023;20462.0;20462.0;0.0
008025;5538.0;5538.0;0.0
008027;800.0;800.0;0.0
008029;2719.0;2719.0;0.0
008031;19836.0;19866.0;30.0
008032;6140.0;6208.0;68.0
008033;25316.0;25316.0;0.0
008034;1448.0;3224.0;1776.0
008043;20310.0;20349.0;39.0
008044;22153.0;22466.0;313.0
008045;21787.0;21886.0;99.0
008046;2799.0;4799.0;2000.0
008048;5384.0;5384.0;0.0
008049;4302.0;62921.0;58619.0
008050;9955.0;28655.0;18700.0
008051;9623.0;9623.0;0.0
008053;6624.0;6731.0;107.0
008054;18203.0;18217.0;14.0
008055;1415.0;1415.0;0.0
008056;8053.0;8053.0;0.0
008057;8820.0;8820.0;0.0
008059;24935.0;24940.0;5.0
008061;24488.0;28674.0;4186.0
008062;3981.0;3981.0;0.0
008063;9336.0;9336.0;0.0
008065;4627.0;4627.0;0.0
008066;6892.0;7301.0;409.0
008068;9240.0;9240.0;0.0
008070;8718.0;8718.0;0.0
008071;7807.0;7807.0;0.0
